Artist,Unique Strings,Total Words in Buffer,Uniqueness Percentage
The Beatles,2613,34706,7.5289575289575295
Radiohead,2173,15138,14.354604307041882
Nirvana,1644,11276,14.579638169563674
Pink Floyd,3112,19477,15.977819992812034
Bob Dylan,4472,35000+,12.777142857142856
King Crimson,2426,10756,22.554853105243584
Talking Heads,2348,22714,10.337236946376684
The Cure,2523,29919,8.432768474882183
The Beach Boys,3164,35000+,9.04
Black Sabbath,2934,33302,8.81028166476488
Bjork,3616,22534,16.04686251886039
Wu-Tang Clan,6437,35000+,18.391428571428573
Kendrick Lamar,4260,35000+,12.171428571428573
Kanye West,3985,35000+,11.385714285714284
The Smiths,1824,17753,10.274319833267617
Death Grips,4567,35000+,13.048571428571428
A Tribe Called Quest,5068,35000+,14.48
Nas,5089,35000+,14.54
Kate Bush,2869,28310,10.134228187919463
Stevie Wonder,2584,35000+,7.382857142857143
David Bowie,4008,35000+,11.451428571
The Velvet Underground,2226,13877,16.040931036967645%

Dream Theater,3839,35000+,10.96857142857143
Opeth,3063,16591,18.46181664758001